year,mo,da,temp,dewp,visib,wdsp,prcp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
2010,1,4,75.6,67,3.4,0.5,0,0,0,0,0,0,0
2010,1,4,56,52.1,0.5,1,0,1,0,0,0,0,0
2010,1,4,63.5,50.3,1.9,0.7,0,0,0,0,0,0,0
2010,1,4,52.8,50.7,0.3,2.5,0,1,0,0,0,0,0
2010,1,4,55.8,49.8,0.9,2.2,0,1,0,0,0,0,0
2010,1,4,59,48.9,1.6,0.4,0,1,0,0,0,0,0
2010,1,4,70.9,50.2,3.9,8,0,0,0,0,0,0,0
2010,1,4,68.2,57.7,2.5,0.8,0,0,0,0,0,0,0
2010,1,4,67.9,53.8,0.7,2.6,0,0,0,0,0,0,0
2010,1,4,61.3,45.5,2.5,0.7,0,0,0,0,0,0,0
2010,1,4,61.2,51.6,2.3,6,0,0,0,0,0,0,0
2010,1,4,60,42.5,1.9,3.9,0,0,0,0,0,0,0
2010,1,4,59.7,51.9,0.8,3.9,0,1,0,0,0,0,0
2010,1,5,61.8,42.6,2.5,0.5,0,0,0,0,0,0,0
2010,1,5,52.8,46.1,1.5,4.3,0,1,0,0,0,0,0
2010,1,5,75.8,64.6,1.7,1.5,0,0,0,0,0,0,0
2010,1,5,51.6,48.8,0.9,0,0,1,0,0,0,0,0
2010,1,5,57,47.9,1.6,0.4,0,0,0,0,0,0,0
2010,1,5,55.5,48.9,1.1,1.7,0,0,0,0,0,0,0
2010,1,5,57.7,43.2,1.2,0,0,0,0,0,0,0,0
2010,1,5,60.3,42.6,2.5,0.7,0,0,0,0,0,0,0
2010,1,5,54.5,47.1,2.2,0.5,0,0,0,0,0,0,0
2010,1,5,76.7,55.5,4.3,1.1,0,0,0,0,0,0,0
2010,1,5,83.8,76.2,4.3,5.5,0,0,0,0,0,0,0
2010,1,5,66.4,42.8,2.5,1.9,0,0,0,0,0,0,0
2010,1,5,56.2,45.9,2.1,3.1,0,0,0,0,0,0,0
2010,1,5,69.6,61,3.9,0.6,0,0,0,0,0,0,0
2010,1,5,75,64,3.9,0.2,0,0,0,0,0,0,0
2010,1,5,57.6,46,2.5,0.5,0,0,0,0,0,0,0
2010,1,5,66.6,49,2.3,0.2,0,0,0,0,0,0,0
2010,1,5,72.5,61.1,2.3,0.4,0,0,0,0,0,0,0
2010,1,5,78.9,69.1,2.5,3.9,0,0,0,0,0,0,0
2010,1,5,55.2,47.8,0.9,3.4,0,0,0,0,0,0,0
2010,1,5,74.5,49.4,3,2.5,0,0,0,0,0,0,0
2010,1,5,54.1,49.5,1.2,1.4,0,0,0,0,0,0,0
2010,1,5,61.3,53.4,1,3.9,0,1,0,0,0,0,0
